,rok,posel,okreg,klub,lista,partia
0,1947,Edward Abramowicz,Radom,ZPPS,,
1,1947,Leon Adamowski,Ełk,SD,,
2,1947,Ludwik Affa,Opole,ZPPS,,
3,1947,Eugeniusz Ajnenkiel,Wrocław,ZPPS,,
4,1947,Jerzy Albrecht,,PPR,,
5,1947,Antoni Alster,Bydgoszcz,PPR,,
6,1947,Marek Ferdynand Arczyński,,SD,,
7,1947,Józef Augustyn,,SL,,
8,1947,Jan Baczewski,Szczecin,SL,,
9,1947,Antoni Bajkowski,Bolesławiec,SL,,
10,1947,Kazimierz Banach,Gdańsk,PSL-L,,
11,1947,Władysław Banaczyk,Poznań,PSL,,
12,1947,Stefan Bancerz,,PPR,,
13,1947,Stanisław Bańczyk,Piotrków Trybunalski,PSL,,
14,1947,Feliks Baranowski,Lublin,ZPPS,,
15,1947,Wincenty Baranowski,Pabianice,SL,,
16,1947,Wacław Barcikowski,Rzeszów,SD,,
17,1947,Marian Baryła,Przemyśl,PPR,,
18,1947,Józef Beluch-Beloński,Siedlce,ZPPS,,
19,1947,Stanisław Beniger,Warszawa,SD,,
20,1947,Jakub Berman,,PPR,,
21,1947,Bronisław Bęben,Przemyśl,ZPPS,,
22,1947,Stanisław Bieniek,Lublin,PPR,,
23,1947,Aleksy Bień,Będzin,ZPPS,,
24,1947,Józef Bień,Lublin,PPR,,
25,1947,Witold Bieńkowski,Siedlce,Katolicko-Społeczny,,
26,1947,Władysław Bieńkowski,Poznań,PPR,,
27,1947,Antoni Bigus,Gdynia,PPR,,
28,1947,Józef Blak,Myśliwice,SL,,
29,1947,Franciszek Blinowski,Toruń,PPR,,
30,1947,Czesław Bobrowski,,ZPPS,,
31,1947,Aleksander Bocheński,Kraków,Katolicko-Społeczny,,
32,1947,Mieczysław Bodalski,Białystok,PPR,,
33,1947,Stanisław Bońka,Kalisz,SL,,
34,1947,Marian Borowiec,Gorlice,SL,,
35,1947,Romana Bosiakowa,Bydgoszcz,PPR,,
36,1947,Arkadiusz Bożek,Koźle,SL,,
37,1947,Henryk Bromboszcz,Chrzanów,ZPPS,,
38,1947,Wincenty Bryja,Warszawa,PSL,,
39,1947,Stefan Brzeziński,Poznań,SP,,
40,1947,Michał Buczek,Pabianice,SL,,
41,1947,Jan Burdzy,Rzeszów,PPR,,
42,1947,Aleksander Burski,Piotrków Trybunalski,PPR,,
43,1947,Stefan Cendrowski,Olsztyn,ZPPS,,
44,1947,Józef Chaba,Kielce,SL,,
45,1947,Kazimierz Chabaj,Rzeszów,ZPPS,,
46,1947,Paweł Chadaj,Chełm,PSL,,
47,1947,Leon Chajn,,SD,,
48,1947,Hilary Chełchowski,,PPR,,
49,1947,Kazimierz Chodkiewicz,Lublin,ZPPS,,
50,1947,Hanna Chorążyna,,PSL,,
51,1947,Piotr Chwaliński,Pabianice,PSL,,
52,1947,Stanisław Cieślak,,SL,,
53,1947,Adolf Cieślik,Będzin,PPR,,
54,1947,Józef Cyrankiewicz,Będzin,ZPPS,,
55,1947,Eugeniusz Czechowicz,Opole,SD,,
56,1947,Marian Czerwiński,Chrzanów,PPR,,
57,1947,Kazimierz Czyżowski,Piotrków Trybunalski,SD,,
58,1947,Tadeusz Ćwik,Pruszków,ZPPS,,
59,1947,Mikołaj Dachów,Przemyśl,SL,,
60,1947,Jan Dąb-Kocioł,Zgierz,SL,,
61,1947,Adolf Dąb,Zamość,ZPPS,,
62,1947,Paweł Dąbek,Zamość,PPR,,
63,1947,Henryk Dąbrowicz,Szczecinek,PPR,,
64,1947,Jan Dąbrowski,Katowice,ZPPS,,
65,1947,Konstanty Dąbrowski,,ZPPS,,
66,1947,Stefan Dąbrowski,Gliwice,SL,,
67,1947,Józef Dechnik,Zamość,PPR,,
68,1947,Tadeusz Dietrich,Koźle,ZPPS,,
69,1947,Stanisław Dobosz,Łódź,bezp.,,
70,1947,Henryk Dobrowolski,Chrzanów,PPR,,
71,1947,Hieronim Dobrowolski,Przasnysz,ZPPS,,
72,1947,Stanisław Dobrowolski,,ZPPS,,
73,1947,Edward Dobruś,Piotrków Trybunalski,ZPPS,,
74,1947,Jan Domański,Włocławek,SL,,
75,1947,Jerzy Domiński,,SP,,
76,1947,Adam Drąg,Przemyśl,SL,,
77,1947,Jerzy Jan Drewnowski,Legnica,SL,,
78,1947,Bolesław Drobner,Kraków,ZPPS,,
79,1947,Bronisław Drzewiecki,Piotrków Trybunalski,PSL-NW,,
80,1947,Józef Dubiel,Katowice,PPR,,
81,1947,Stanisław Duniak,Łódź,ZPPS,,
82,1947,Lucjusz Dura,Olsztyn,SL,,
83,1947,Władysław Dworakowski,Gdynia,PPR,,
84,1947,Stefan Dybowski,Białystok,SL,,
85,1947,Henryk Dzendzel,Tarnów,SL,,
86,1947,Wiesław Fijałkowski,Szczecinek,SD,,
87,1947,Piotr Flacht,Chrzanów,ZPPS,,
88,1947,Franciszek Formas,Białystok,ZPPS,,
89,1947,Jan Frankowski,Ostrowiec,Katolicko-Społeczny,,
90,1947,Henryk Gacki,Ostrowiec,ZPPS,,
91,1947,Stanisław Gać,Przasnysz,PPR,,
92,1947,Piotr Gajewski,Warszawa,ZPPS,,
93,1947,Antoni Galiński,Bolesławiec,PPR,,
94,1947,Kazimierz Gallas,Pabianice,SD,,
95,1947,Jan Garncarczyk,Myślenice,SL,,
96,1947,Wilhelm Garncarczyk,Ostrowiec,SL,,
97,1947,Stanisława Garncarczykowa,,SL,,
98,1947,Piotr Gellert,Świebodzin,ZPPS,,
99,1947,Roman Gesing,Rzeszów,PSL,,
100,1947,Lucjan Głowacki,Zgierz,ZPPS,,
101,1947,Wiesław Gomułka,Wrocław,PPR,,
102,1947,Alfred Górny,Bolesławiec,ZPPS,,
103,1947,Czesław Grajek,Leszno,ZPPS,,
104,1947,Jan Gronkiewicz,Częstochowa,ZPPS,,
105,1947,Ludwik Grosfeld,Szczecin,ZPPS,,
106,1947,Stanisław Gross,Pruszków,ZPPS,,
107,1947,Kazimierz Groszyński,Łódź,SP,,
108,1947,Jan Grubecki,Płońsk,SL,,
109,1947,Józef Grzecznarowski,Radom,ZPPS,,
110,1947,Wacław Gumiński,Biskupiec,PPR,,
111,1947,Leszek Guzicki,Przasnysz,SD,,
112,1947,Michał Gwiazdowicz,Płońsk,SL,,
113,1947,Alfons Gwis,Koźle,SL,,
114,1947,Stanisław Hałas,Katowice,SD,,
115,1947,Emilia Hiżowa,,SD,,
116,1947,Julian Hochfeld,Legnica,ZPPS,,
117,1947,Andrzej Ignatowski,Ostrowiec,SP,,
118,1947,Jan Izydorczyk,Leszno,PPR,,
119,1947,Henryk Jabłoński,,ZPPS,,
120,1947,Andrzej Jacak,Bielsko,ZPPS,,
121,1947,Kazimierz Jachowicz,Toruń,SL,,
122,1947,Stanisław Jagiełło,Częstochowa,PSL,,
123,1947,Władysław Jagiełło,Warszawa,ZPPS,,
124,1947,Stanisław Jagusz,Siedlce,PSL,,
125,1947,Leon Jankowski,Gdańsk,SL,,
126,1947,Stanisław Janusz,,SL,,
127,1947,Stanisław Jaremczuk,Świebodzin,SL,,
128,1947,Feliks Jarosz,Katowice,ZPPS,,
129,1947,Stefan Jaroszek,Wrocław,SL,,
130,1947,Piotr Jaroszewicz,,PPR,,
131,1947,Andrzej Jasiuk,Myślenice,ZPPS,,
132,1947,Maria Jaszczukowa,Kalisz,SD,,
133,1947,Helena Jaworska,Szczecin,PPR,,
134,1947,Marian Jaworski,Pruszków,PPR,,
135,1947,Emil Jerzyk,Gorlice,ZPPS,,
136,1947,Stefan Jędrychowski,Gdańsk,PPR,,
137,1947,Jerzy Jodłowski,Łódź,SD,,
138,1947,Wacław Jonsik,Kalisz,SD,,
139,1947,Franciszek Witold Jóźwiak,Chełm,PPR,,
140,1947,Albin Jura,Chrzanów,SD,,
141,1947,Jan Jurek,Katowice,SL,,
142,1947,Stanisław Jurkowski,Mińsk Mazowiecki,SL,,
143,1947,Aleksander Juszkiewicz,Bielsko,SL,,
144,1947,Józef Aleksander Kaczocha,,SL,,
145,1947,Michał Kaczorowski,,ZPPS,,
146,1947,Stanisław Kaliszewski,Chełm,SD,,
147,1947,Franciszek Kamiński,,PSL,,
148,1947,Artur Karaczewski,Łódź,ZPPS,,
149,1947,Jan Karbowiak,Łódź,ZPPS,,
150,1947,Stanisław Karpała,Kalisz,SL,,
151,1947,Józef Kaźmierczak,Kielce,ZPPS,,
152,1947,Wincenty Kępczyński,Płońsk,ZPPS,,
153,1947,Władysław Kiernik,,PSL,,
154,1947,Józef Kieszczyński,Gliwice,PPR,,
155,1947,Jan Kisiel,Pruszków,SL,,
156,1947,Marian Kisiel,Opole,SL,,
157,1947,Adolf Kita,Leszno,SL,,
158,1947,Jan Klecha,Chełm,PPR,,
159,1947,Zenon Kliszko,,PPR,,
160,1947,Bronisław Kloc,Koźle,PSL-NW,,
161,1947,Wiktor Kłosiewicz,Łobez,PPR,,
162,1947,Dorota Kłuszyńska,Gniezno,ZPPS,,
163,1947,Jan Koj,Opole,bezp.,,
164,1947,Tomasz Kołakowski,Gdańsk,SP,,
165,1947,Antoni Kołodziej,Gdynia,PPR,,
166,1947,Henryk Kołodziejczyk,Koźle,SL,,
167,1947,Henryk Kołodziejski,,bezp.,,
168,1947,Tadeusz Koral,Olsztyn,ZPPS,,
169,1947,Stefan Korboński,Warszawa,PSL,,
170,1947,Leon Korga,Gorlice,PPR,,
171,1947,Antoni Korzycki,,SL,,
172,1947,Piotr Koss,Gdynia,ZPPS,,
173,1947,Władysław Kosydarski,Łobez,PSL-NW,,
174,1947,Stanisław Kotek-Agroszewski,Mińsk Mazowiecki,SL,,
175,1947,Stanisław Koter,Białystok,PSL-L,,
176,1947,Stanisław Kowalczyk,Myślenice,ZPPS,,
177,1947,Stanisław Kowalewski,Chełm,ZPPS,,
178,1947,Władysław Kowalik,Bolesławiec,SL,,
179,1947,Aleksander Kowalski,Koźle,PPR,,
180,1947,Jan Kowalski,Kalisz,ZPPS,,
181,1947,Władysław Kowalski,,SL,,
182,1947,Bogusław Kożusznik,Bieslko,ZPPS,,
183,1947,Jakub Krajewski,Płońsk,PPR,,
184,1947,Józef Kramarz,Chrzanów,PPR,,
185,1947,Eugenia Krassowska,Szczecin,SD,,
186,1947,Jan Krochmal,Rzeszów,SL,,
187,1947,Franciczek Król,Włocławek,PPR,,
188,1947,Jan Aleksander Król,Białystok,SL,,
189,1947,Leon Kruczkowski,,PPR,,
190,1947,Alfred Krygier,,ZPPS,,
191,1947,Andrzej Krzewniak,Białystok,ZPPS,,
192,1947,Adam Krzyżanowski,Kraków,SD,,
193,1947,Julian Kubiak,Białystok,PPR,,
194,1947,Aleksander Marian Kubicki,Częstochowa,SL,,
195,1947,Władysław Kuczewski,Gliwice,PPR,,
196,1947,Stanisław Kulczyński,Wrocław,SD,,
197,1947,Jan Kulisiewicz,Pruszków,SL,,
198,1947,Jan Kulka,Piotrków Trybunalski,SL,,
199,1947,Bronisław Kupczyński,Koźle,PPR,,
200,1947,Władysław Kurkiewicz,Opole,SL,,
201,1947,Eustachy Kuroczko,Legnica,PPR,,
202,1947,Karol Kurpiewski,Mińsk Mazowiecki,SL,,
203,1947,Adam Kuryłowicz,Katowice,ZPPS,,
204,1947,Gwidon Jan Kurzela,Włocławek,ZPPS,,
205,1947,Eugeniusz Kuszko,Myślenice,bezp.,,
206,1947,Maria Kuzańska-Obrączkowa,Łobez,ZPPS,,
207,1947,Eugeniusz Kwiatkowski,,bezp.,,
208,1947,Stanisław Kwiatkowski,Świebodzin,ZPPS,,
209,1947,Wiktor Labus,Katowice,PPR,,
210,1947,Oskar Lange,,ZPPS,,
211,1947,Antoni Langer,Gdynia,SL,,
212,1947,Stanisław Laskowski,Pruszków,PSL,,
213,1947,Włodzimierz Lechowicz,Gdynia,SD,,
214,1947,Stanisław Leszczycki,Poznań,ZPPS,,
215,1947,Józef Leś,Tarnów,PSL,,
216,1947,Jan Lewandowicz,Legnica,SL,,
217,1947,Pelagia Lewińska,Łobez,PPR,,
218,1947,Marian Lityński,Wrocław,SP,,
219,1947,Ignacy Loga-Sowiński,Łódź,PPR,,
220,1947,Henryk Lukrec,,SD,,
221,1947,Józef Łabuz,Tarnów,PPR,,
222,1947,Ignacy Łakomiec,Ostrowiec,SL,,
223,1947,Zofia Łyżnik,Płońsk,SL,,
224,1947,Józef Maciejewski,Szczecin,SP,,
225,1947,Andrzej Maj,Radom,PPR,,
226,1947,Władysław Majkutewicz,Lublin,SL,,
227,1947,Wacław Makowski,Lublin,SL,,
228,1947,Julian Makuch,Radom,SL,,
229,1947,Wiktor Malczyński,Mińsk Mazowiecki,ZPPS,,
230,1947,Stanisław Małolepszy,Łódź,SP,,
231,1947,Franciszek Mańkowski,,SP,,
232,1947,Felicja Marczakowa,Warszawa,PPR,,
233,1947,Mieczysław Marzec,Legnica,PPR,,
234,1947,Józef Maślanka,,SL,,
235,1947,Franciszek Mazur,Legnica,PPR,,
236,1947,Stanisław Mazur,,PPR,,
237,1947,Mieczysław Michałowicz,,SD,,
238,1947,Tadeusz Michejda,Kalisz,SP,,
239,1947,Czesław Michurski,Łódź,SL,,
240,1947,Kazimierz Mijal,Łódź,PPR,,
241,1947,Stanisław Mikołajczyk,,PSL,,
242,1947,Henryk Mikulski,Wrocław,PPR,,
243,1947,Hilary Minc,Gliwice,PPR,,
244,1947,Marian Minor,Piotrków Trybunalski,PPR,,
245,1947,Jan Mirek,Rzeszów,ZPPS,,
246,1947,Antoni Mitura,,SL,,
247,1947,Władysław Młotecki,Świebodzin,PPR,,
248,1947,Zygmunt Modzelewski,,PPR,,
249,1947,Jerzy Morawski,Bolesławiec,PPR,,
250,1947,Zygmunt Moskwa,Radom,SD,,
251,1947,Lucjan Motyka,Chrzanów,ZPPS,,
252,1947,Kazimierz Nadobnik,Gniezno,PSL,,
253,1947,Wiktor Nagórski,Siedlce,SD,,
254,1947,Zofia Nałkowska,Kraków,bezp.,,
255,1947,Paweł Nantka-Namirski,Gliwice,ZPPS,,
256,1947,Ryszard Nieszporek,Bielsko,PPR,,
257,1947,Franciszek Nijak,Kalisz,PPR,,
258,1947,Jerzy Nowacki,Gliwice,SD,,
259,1947,Roman Nowak,Katowice,PPR,,
260,1947,Tadeusz Nowak,Leszno,PSL,,
261,1947,Antoni Nowakowski,Włocławek,PPR,,
262,1947,Małgorzata Nowicka,Kraków,ZPPS,,
263,1947,Marian Nowicki,Piotrków Trybunalski,ZPPS,,
264,1947,Ryszard Obrączka,,ZPPS,,
265,1947,Edward Ochab,Będzin,PPR,,
266,1947,Wawrzyniec Okrajni,Chrzanów,SL,,
267,1947,Wincenty Okulicki,Legnica,SL,,
268,1947,Aleksander Olchowicz,Myślenice,SP,,
269,1947,Witold Oleszczak,Legnica,PSL-NW,,
270,1947,Stefan Olszewski,Rzeszów,SL,,
271,1947,Józef Ordyniec,Włocławek,SD,,
272,1947,Edwarda Orłowska,Ełk,PPR,,
273,1947,Bolesław Orłowski,Legnica,ZPPS,,
274,1947,Stanisław Osiecki,Bydgoszcz,PSL,,
275,1947,Edward Osóbka-Morawski,Gdańsk,ZPPS,,
276,1947,Józef Ozga-Michalski,Kielce,SL,,
277,1947,Jan Palczewski,Częstochowa,SD,,
278,1947,Gustaw Paszkiewicz,Ełk,SL,,
279,1947,Roman Pawełczyk,Koźle,ZPPS,,
280,1947,Wojciech Pelczarski,Gorlice,PPR,,
281,1947,Stanisław Piaskowski,Bolesławiec,ZPPS,,
282,1947,Józef Pieprzyk,Kalisz,PPR,,
283,1947,Józef Pietrusiński,Legnica,ZPPS,,
284,1947,Bolesław Pietrzak,Przasnysz,SL,,
285,1947,Władysława Pietrzakowa,Pruszków,SL,,
286,1947,Rozalia Pilchowa,Gorlice,ZPPS,,
287,1947,Antoni Piotrowski,Gniezno,SL,,
288,1947,Jan Piotrowski,Piotrków,SL,,
289,1947,Roman Piotrowski,,PPR,,
290,1947,Irena Piwowarska,Łódź,PPR,,
291,1947,Bolesław Podedworny,,SL,,
292,1947,Wanda Podniesińska,Mińsk Mazowiecki,PPR,,
293,1947,Stanisław Podrygałło,,SL,,
294,1947,Wojciech Pokora,Poznań,bezp.,,
295,1947,Jan Pokrzywa,Siedlce,SL,,
296,1947,Maria Pol,Będzin,ZPPS,,
297,1947,Adam Polewka,Myślenice,PPR,,
298,1947,Wacław Polkowski,Mińsk Mazowiecki,ZPPS,,
299,1947,Mieczysław Popiel,Będzin,PPR,,
300,1947,Stanisław Popławski,Wrocław,SL,,
301,1947,Marian Potapczuk,Zgierz,PPR,,
302,1947,Rafał Praga,Gniezno,ZPPS,,
303,1947,Eugenia Pragierowa,,ZPPS,,
304,1947,Eugeniusz Przetacznik,Łódź,ZPPS,,
305,1947,Józef Przytuła,Przasnysz,SL,,
306,1947,Edmund Pszczółkowski,Pabianice,PPR,,
307,1947,Teofil Pszczółkowski,Przemyśl,SL,,
308,1947,Józef Putek,,SL,,
309,1947,Henryk Raabe,,ZPPS,,
310,1947,Jan Rabanowski,Olsztyn,SD,,
311,1947,Stanisław Radkiewicz,,PPR,,
312,1947,Krzysztof Radziwiłł,Radom,SD,,
313,1947,Władysław Rajkowski,Przemyśl,ZPPS,,
314,1947,Jan Rak,Szczecinek,ZPPS,,
315,1947,Adam Rapacki,,ZPPS,,
316,1947,Kazimierz Rapaczyński,Będzin,ZPPS,,
317,1947,Julian Rataj,Bydgoszcz,SL,,
318,1947,Włodzimierz Reczek,,ZPPS,,
319,1947,Tadeusz Rek,,SL,,
320,1947,Michał Rękas,Legnica,PSL-NW,,
321,1947,Stefan Rękas,Radom,SL,,
322,1947,Franciszek Roch-Kowalski,Leszno,SL,,
323,1947,Witold Rogala,Wrocław,ZPPS,,
324,1947,Józef Różański,Gniezno,PPR,,
325,1947,Bolesław Rumiński,Kalisz,PPR,,
326,1947,Kazimierz Rusinek,,ZPPS,,
327,1947,Jan Rustecki,Warszawa,PPR,,
328,1947,Otylia Ruszczycka,Wrocław,SL,,
329,1947,Stefan Rutkowski,Włocławek,ZPPS,,
330,1947,Władysław Ryncarz,Tarnów,PSL-NW,,
331,1947,Mieczysław Rzeszut,Myślenice,SL,,
332,1947,Wincenty Rzymowski,Wrocław,SD,,
333,1947,Wacław Saciłowski,Ełk,SL,,
334,1947,Józef Sack,,bezp.,,
335,1947,Julian Sadłowski,Warszawa,bezp.,,
336,1947,Adam Sadrakuła,Wrocław,SL,,
337,1947,Stanisław Sakowski,Gdynia,SL,,
338,1947,Leon Schiller,,PPR,,
339,1947,Józef Siemek,Wrocław,ZPPS,,
340,1947,Aleksy Sieradzki,Chrzanów,ZPPS,,
341,1947,Józef Słoń,Łódź,SL,,
342,1947,Wacław Sobol,Katowice,SD,,
343,1947,Włodzimierz Sokorski,Wrocław,PPR,,
344,1947,Bolesław Sokół,Kalisz,ZPPS,,
345,1947,Marian Spychalski,,PPR,,
346,1947,Franciszek Stachnik,Gorlice,PSL,,
347,1947,Roman Stachoń,Katowice,ZPPS,,
348,1947,Stanisław Stasiak,Bielsko,SL,,
349,1947,Wincenty Stawiński,Pabianice,ZPPS,,
350,1947,Stanisław Stefański,Gdańsk,SD,,
351,1947,Stanisław Stęplewski,Wrocław,PPR,,
352,1947,Krystyna Strusińska,,ZPPS,,
353,1947,Karol Strzałkowski,Świebodzin,SD,,
354,1947,Ryszard Strzelecki,Chrzanów,PPR,,
355,1947,Władysław Swornowski,Świebodzin,SL,,
356,1947,Henryk Szafrański,,PPR,,
357,1947,Janusz Szałkowski,Toruń,SD,,
358,1947,Józef Szczęśniak,Będzin,PPR,,
359,1947,Jan Szczyrek,Gliwice,ZPPS,,
360,1947,Władysław Szedrowicz,,ZPPS,,
361,1947,Faustyn Szlęzak,Gdynia,SD,,
362,1947,Irena Sztachelska,,bezp.,,
363,1947,Jerzy Sztachelski,,PPR,,
364,1947,Michał Szuldenfrei,,ZPPS,,
365,1947,Stanisław Szwalbe,Warszawa,ZPPS,,
366,1947,Aleksander Szyćko,Gliwice,SL,,
367,1947,Piotr Szymanek,,SL,,
368,1947,Wacław Szymanowski,,SL,,
369,1947,Zygmunt Szymanowski,,ZPPS,,
370,1947,Edward Szymański,Olsztyn,PPR,,
371,1947,Henryk Świątkowski,Zamość,ZPPS,,
372,1947,Karol Świerczewski,Gniezno,PPR,,
373,1947,Kazimiera Świętochowska,Biskupiec,ZPPS,,
374,1947,Jan Tabor,,SL,,
375,1947,Andrzej Taborowicz,Chrzanów,PPR,,
376,1947,Damazy Tilgner,Opole,SP,,
377,1947,Stanisław Tkaczów,Rzeszów,PPR,,
378,1947,Karol Tkocz,Gliwice,PPR,,
379,1947,Stanisław Tołwiński,,PPR,,
380,1947,Józef Tomasiak,Lublin,PPR,,
381,1947,Zofia Tomczyk,Gliwice,SL,,
382,1947,Franciszek Trąbalski,Gliwice,ZPPS,,
383,1947,Józef Tront,Zamość,SL,,
384,1947,Henryk Trzebiński,Bydgoszcz,SP,,
385,1947,Marian Tupalski,Kalisz,SL,,
386,1947,Tadeusz Turek,Opole,ZPPS,,
387,1947,Mieczysław Tureniec,Płońsk,PPR,,
388,1947,Stanisław Turski,,ZPPS,,
389,1947,Henryk Wachowicz,Łódź,ZPPS,,
390,1947,Andrzej Waleron,Kielce,SL,,
391,1947,Wacław Wanat,Będzin,SL,,
392,1947,Józef Wasowski,,SD,,
393,1947,Mieczysław Wągrowski,Częstochowa,PPR,,
394,1947,Wincenty Wąsik,Przasnysz,SL,,
395,1947,Witold Wenclik,Białystok,SD,,
396,1947,Jan Karol Wende,,SD,,
397,1947,Tomasz Wiącek,Rzeszów,SL,,
398,1947,Feliks Widy-Wirski,Świebodzin,SP,,
399,1947,Jan Wierusz-Kowalski,Szczecin,ZPPS,,
400,1947,Bogdan Wilamowski-Korolewicz,Biskupiec,SL,,
401,1947,Jan Wilandt,Toruń,SP,,
402,1947,Jan Wilanowski,Szczecinek,SL,,
403,1947,Stefan Wilanowski,Leszno,SL,,
404,1947,Eugeniusz Wiślicz-Iwańczyk,Kielce,PPR,,
405,1947,Jan Witaszek,Kraków,PSL,,
406,1947,Kazimierz Witaszewski,,PPR,,
407,1947,Andrzej Witos,Zgierz,PSL,,
408,1947,Ludwik Witos,Toruń,SL,,
409,1947,Jan Witoszka,Zamość,PSL-NW,,
410,1947,Bronisław Włodek,Leszno,ZPPS,,
411,1947,Paweł Wojas,Katowice,PPR,,
412,1947,Stanisław Wojciechowski,Gliwice,ZPPS,,
413,1947,Wojciech Wojewoda,Bydgoszcz,ZPPS,,
414,1947,Władysław Antoni Wolski,Świebodzin,PPR,,
415,1947,Józef Wołek,Gdańsk,ZPPS,,
416,1947,Franciszek Wójcicki,Włocławek,PSL,,
417,1947,Henryk Wójcicki,Ostrowiec,PPR,,
418,1947,Adam Wójcik,Pruszków,PPR,,
419,1947,Józef Wójcik,Zamość,SL,,
420,1947,Stanisław Wójcik,Lublin,PSL,,
421,1947,Stanisław Wrona-Merski,Chełm,SL,,
422,1947,Zenon Wróblewski,Gdańsk,PPR,,
423,1947,Czesław Wycech,Mińsk Mazowiecki,PSL-L,,
424,1947,Henryk Wyrzykowski,Wrocław,SL,,
425,1947,Lesław Wysocki,Płońsk,SD,,
426,1947,Mieczysław Wysocki,,SL,,
427,1947,Stanisław Zagórski,Łódź,SD,,
428,1947,Zdzisław Zajączkowski,Wrocław,ZPPS,,
429,1947,Henryk Zakrzewski,Gdynia,ZPPS,,
430,1947,Zygmunt Załęski,Pruszków,PSL,,
431,1947,Roman Zambrowski,Szczecin,PPR,,
432,1947,Aleksander Zawadzki,Opole,PPR,,
433,1947,Włodzimierz Zduńczyk,Ostrowiec,PPR,,
434,1947,Jerzy Ziętek,Katowice,PPR,,
435,1947,Adam Żak,Łódź,PPR,,
436,1947,Stanisław Żarek,Tarnów,ZPPS,,
437,1947,Jan Żerkowski,,ZPPS,,
438,1947,Franciszek Ksawery Żmijewski,Warszawa,PPR,,
439,1947,Stefan Żmijko,Łódź,SL,,
440,1947,Stefan Żółkiewski,,PPR,,
441,1947,Wacław Żukowski,Toruń,ZPPS,,
442,1947,Zygmunt Żuławski,Kraków,bezp.,,
443,1947,Michał Żymierski,,bezp.,,
444,1952,Leon Adamowski,Warszawa,,,
445,1952,Jerzy Albrecht,Warszawa,,,
446,1952,Antoni Alster,Włocławek,,,
447,1952,Jerzy Andrzejewski,Szczecin,,,
448,1952,Franciszek Apryas,Bielsko-Biała,,,
449,1952,Janina Balcerzak,Przasnysz,,,
450,1952,Kazimierz Banach,Ostrowiec Świętokrzyski,,,
451,1952,Franciszek Banasik,Zielona Góra,,,
452,1952,Feliks Baranowski,Bydgoszcz,,,
453,1952,Wincenty Baranowski,Piotrków Trybunalski,,,
454,1952,Wacław Barcikowski,Poznań,,,
455,1952,Józef Baron,opole,,,
456,1952,Stefan Batorski,Stalinogród,,,
457,1952,Karol Bąkowski,Pabianice,,,
458,1952,Jakub Berman,Warszawa,,,
459,1952,Stanisław Bieniek,Radzyń Podlaski,,,
460,1952,Józef Bień,Lublin,,,
461,1952,Witold Biernawski,Chrzanów,,,
462,1952,Bolesław Bierut,Warszawa,,,
463,1952,Antoni Bigus,Gdynia,,,
464,1952,Alojzy Biłko,Bielsko-Biała,,,
465,1952,Franciszek Blinowski,Grudziądz,,,
466,1952,Szczepan Błaut,Sosnowiec,,,
467,1952,Helena Boczek,Pułtusk,,,
468,1952,Mieczysław Bodalski,Ełk,,,
469,1952,Jerzy Bordziłowski,Stalinogród,,,
470,1952,Władysław Bożek,Gliwice,,,
471,1952,Wojciech Brydziński,Pruszków,,,
472,1952,Władysław Brzegowy,Nowy Sącz,,,
473,1952,Piotr Brzózka,Zabrze,,,
474,1952,Celina Budzyńska,Skierniewice,,,
475,1952,Bernard Bugdoł,Zabrze,,,
476,1952,Barbara Bulska,Częstochowa,,,
477,1952,Tadeusz Bulwan,Oświęcim,,,
478,1952,Janina Cabaj,Pułtusk,,,
479,1952,Romuald Cebertowicz,Gdańsk,,,
480,1952,Józef Chaba,Wrocław,,,
481,1952,Wincenty Chabura,Płock,,,
482,1952,Leon Chajn,Gdańsk,,,
483,1952,Hilary Chełchowski,Kielce,,,
484,1952,Anna Chichańska,Inowrocław,,,
485,1952,Stanisław Chlebda,Prudnik,,,
486,1952,Janina Chmielewska,Mińsk Mazowiecki,,,
487,1952,Alicja Chmura,Bytom,,,
488,1952,Edward Chromy,Sosnowiec,,,
489,1952,Klementyna Chrzanowska,Pabianice,,,
490,1952,Jakub Chudoba,Nowy Targ,,,
491,1952,Stanisław Cieślak,Oświęcim,,,
492,1952,Maria Cykman,Bielsko-Biała,,,
493,1952,Józef Cyrankiewicz,Kraków,,,
494,1952,Henryk Czajka,Ostrowiec Świętokrzyski,,,
495,1952,Józef Czapski,Lublin,,,
496,1952,Stefan Czarnecki,Bydgoszcz,,,
497,1952,Marian Czerwiński,Bytom,,,
498,1952,Tadeusz Czystochorski,Białystok,,,
499,1952,Mikołaj Dachów,Szczecin,,,
500,1952,Jan Dąb-Kocioł,Gniezno,,,
501,1952,Konstanty Dąbrowski,Krosno,,,
502,1952,Józef Dechnik,Zamość,,,
503,1952,Zofia Dembińska,Leszno,,,
504,1952,Jan Dembowski,Warszawa,,,
505,1952,Franciszek Dębowski,Zielona Góra,,,
506,1952,Tadeusz Dietrich,Prudnik,,,
507,1952,Ostap Dłuski,Opole,,,
508,1952,Jan Dobraczyński,Gniezno,,,
509,1952,Adam Doliński,Piotrków Trybunalski,,,
510,1952,Maria Domagalska,Piotrków Trybunalski,,,
511,1952,Czesław Domagała,Piotrków Trybunalski,,,
512,1952,Irena Domańska,Rzeszów,,,
513,1952,Jan Domański,Pruszków,,,
514,1952,Maria Dota,Gniezno,,,
515,1952,Bolesław Drobner,Tarnów,,,
