embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-default,20,100,100,5,255,None,None,None,None,None,0.9963545075973872,0.9955053678153722
sbert-default,20,200,1,5,254,None,None,None,None,None,0.9959988856774733,0.995309982986511
sbert-default,20,200,20,5,202,None,None,None,None,None,0.996174144317264,0.9955226995999304
sbert-default,20,200,100,5,255,None,None,None,None,None,0.9963545075973872,0.9955053678153722
sbert-default,20,200,200,5,276,None,None,None,None,None,0.9964342548323856,0.9955157106676686
sbert-default,25,10,10,18,596,58645,0.6669991740221544,-0.43270380819970566,0.13592011658400124,0.1462398313286569,0.9972274244342376,0.9952283002516367
sbert-default,25,20,10,16,919,58727,0.646003612520066,-0.17829558244356244,-0.14332423826747628,0.14060430270481433,0.9982404692082112,0.9951660054291084
sbert-default,25,20,20,14,796,58659,0.6163933770788034,-0.21572268047182025,-0.5464198221033771,0.11759362162056877,0.997829485497334,0.995180026866565
sbert-default,25,50,10,8,322,58530,0.7453709296230242,-0.08270498669815778,0.854899512077022,0.16708129132891417,0.9960425978115844,0.9950968963249341
sbert-default,25,50,25,7,189,58469,0.7127864117067899,-0.04641129409792425,-0.7234458428350866,0.09190415355977503,0.9957031331610873,0.9951143295600461
sbert-default,25,50,50,7,160,58474,0.6117775123990016,-0.04622541302265307,-1.1788698433096165,0.06217173536808706,0.9956026126678179,0.9951143295600461
sbert-default,25,100,1,5,132,58367,0.6713570509405068,1.0000889005818412e-12,0.3605770716644382,0.13799243576568251,0.9959490358078785,0.9955055710742451
sbert-default,25,100,10,5,108,58375,0.7086896989440066,1.0000889005818412e-12,0.4699348030789382,0.1491051286574239,0.9958727871910246,0.9955159758579305
sbert-default,25,100,50,5,107,58372,0.6673643208973314,1.0000889005818412e-12,0.06295537937619866,0.13554880566962232,0.9958623905569243,0.9955090497344043
sbert-default,25,100,100,5,147,58365,0.6084681943067229,1.0000889005818412e-12,-1.3523650355515067,0.06059973495063008,0.9959940694129276,0.9955020924140858
sbert-default,25,200,1,5,132,58367,0.6713570509405068,1.0000889005818412e-12,0.3605770716644382,0.13799243576568251,0.9959490358078785,0.9955055710742451
sbert-default,25,200,20,5,137,58366,0.7019093820446285,1.0000889005818412e-12,-0.21047851942657506,0.1293882938306556,0.9959663526291794,0.9955090497344043
sbert-default,25,200,100,5,147,58365,0.6084681943067229,1.0000889005818412e-12,-1.3523650355515067,0.06059973495063008,0.9959940694129276,0.9955020924140858
sbert-default,25,200,200,5,197,58352,0.7667309537884006,1.0000889005818412e-12,1.5285395969445323,0.2059962273115285,0.9961951640639686,0.9955228709285782
sbert-default,50,10,10,18,899,58625,0.6595760729548684,-0.2986074276893768,0.2771859255941174,0.15549094420079732,0.9984362019254264,0.995392603109645
sbert-default,50,20,10,276,209986,67953,0.39079936530395654,-0.9968234768573445,-3.5391280833906125,-0.03782613643120229,0.3365943330445623,0.6800065561231459
sbert-default,50,20,20,11,829,58540,0.7027927930219935,-0.14092587381114519,0.14517362155978927,0.1493319203132892,0.9981435341247741,0.9953441274414623
sbert-default,50,50,10,130,193332,63575,0.3687926717810951,-0.7180790342004415,-3.6404449747879566,-0.03915710356581117,0.36110093423703976,0.624698961052056
sbert-default,50,50,25,7,338,58456,0.6727557168436942,-0.08240540950040566,0.5241966214034424,0.14828695608070405,0.9965299552656883,0.9954481549019335
sbert-default,50,50,50,6,167,58443,0.6320196266684498,-0.022703361055028935,-1.1899546125335794,0.07353839023432604,0.9958223088706308,0.9952854150574448
sbert-default,50,100,1,7,369,58479,0.6688507208273352,-0.03683913545733185,-0.6736049130188791,0.11236396448131654,0.9965300036232894,0.9953096239696309
